Name,1/30/25,2/2/25,2/9/25,2/16/25,2/23/25,3/2/25,3/9/25,3/16/25,3/23/25,3/30/25,4/6/25,4/13/25,,2/2/25,2/9/25,2/16/25,2/23/25,3/2/25,3/9/25,3/16/25,3/23/25,3/30/25,4/6/25,4/13/25,Total
@StayMaven,169,173,165,169,174,176,,,,,,,,4,-8,4,5,2,,,,,,,7
@kenter_jeremy,23,28,27,26,29,30,,,,,,,,5,-1,-1,3,1,,,,,,,7
@motleymd,126,127,125,128,130,132,,,,,,,,1,-2,3,2,2,,,,,,,6
@ClaytonAnd10,76,76,77,77,80,81,,,,,,,,0,1,0,3,1,,,,,,,5
@tannieinaus,35,34,43,43,40,40,,,,,,,,-1,9,0,-3,0,,,,,,,5
@garrick_ellwood,193,195,202,202,201,198,,,,,,,,2,7,0,-1,-3,,,,,,,5
@realjoshuabolin,185,185,186,194,194,190,,,,,,,,0,1,8,0,-4,,,,,,,5
@dhillon803,278,280,290,282,278,281,,,,,,,,2,10,-8,-4,3,,,,,,,3
@TayeLarry,271,272,270,270,272,274,,,,,,,,1,-2,0,2,2,,,,,,,3
@ChristofAppel,938,939,941,942,942,941,,,,,,,,1,2,1,0,-1,,,,,,,3
@davidrabar,11,10,11,10,12,13,,,,,,,,-1,1,-1,2,1,,,,,,,2
@tuck_dx,113,111,110,110,112,114,,,,,,,,-2,-1,0,2,2,,,,,,,1
@FernandoN36,11,11,13,13,13,12,,,,,,,,0,2,0,0,-1,,,,,,,1
@khurramnaik,430,429,430,429,429,430,,,,,,,,-1,1,-1,0,1,,,,,,,0
@Nagrajbs,72,72,72,73,72,72,,,,,,,,0,0,1,-1,0,,,,,,,0
@ThomasNieto3312,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,0
@blmnke,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0
@dist_renaissance,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0
@buyoutbandit,6,6,6,5,6,5,,,,,,,,0,0,-1,1,-1,,,,,,,-1
@jasonfromaz,119,119,112,109,114,117,,,,,,,,0,-7,-3,5,3,,,,,,,-2
@brucexduncan,286,285,278,279,286,284,,,,,,,,-1,-7,1,7,-2,,,,,,,-2
@Fadi_Maksad,391,395,393,388,387,388,,,,,,,,4,-2,-5,-1,1,,,,,,,-3
@travisap,99,99,99,97,100,96,,,,,,,,0,0,-2,3,-4,,,,,,,-3
@TheMooshee,263,264,259,261,258,259,,,,,,,,1,-5,2,-3,1,,,,,,,-4
@brickflows,510,510,503,502,503,505,,,,,,,,0,-7,-1,1,2,,,,,,,-5
@Danielweber43,111,112,99,98,105,106,,,,,,,,1,-13,-1,7,1,,,,,,,-5
@ArnoldCPATX,157,158,144,140,147,151,,,,,,,,1,-14,-4,7,4,,,,,,,-6
@SCullenCarroll,232,232,226,221,224,226,,,,,,,,0,-6,-5,3,2,,,,,,,-6
@hocuskrokus,152,155,144,143,144,144,,,,,,,,3,-11,-1,1,0,,,,,,,-8
@LoughlinCody,386,390,382,378,381,378,,,,,,,,4,-8,-4,3,-3,,,,,,,-8
@tomjbarr,470,472,460,458,460,460,,,,,,,,2,-12,-2,2,0,,,,,,,-10
@kohl5274,274,274,251,249,250,248,,,,,,,,0,-23,-2,1,-2,,,,,,,-26
@awillmDO,70,72,125,161,168,,,,,,,,,2,53,36,7,-168,,,,,,,-70
@slowe89,101,107,111,125,,,,,,,,,,6,4,14,-125,0,,,,,,,-101
